Branch_ID	Branch_Label	Input_Type	Model	Test_AUC	Test_AUPRC	Test_Threshold	Test_ACC	Test_MCC	Test_Recall	Test_Specificity	Test_Precision	Test_F1	Test_TP	Test_FP	Test_TN	Test_FN	Balanced_Score	CV_AUC	CV_MCC	Train_AUC	Train_ACC	Train_MCC	Step2_Dir
0.1	非靶代谢	metabolome	rpart	0.88	0.909942084942085	0.407692307692308	0.864864864864865	0.683749389406109	0.96	0.666666666666667	0.857142857142857	0.90566037735849	24	4	8	1	0.810539120268972	0.745952380952381	0.421683663091174	0.844992050874404	0.87037037037037	0.690829801329581	run_model_0.1_metabolome_step2
0.4	肠道细菌属	gut_bacteria	naive_bayes	0.896666666666667	0.949053025860561	8.98768260297849e-12	0.837837837837838	0.649924346608665	0.84	0.833333333333333	0.91304347826087	0.875	21	2	10	4	0.804101848281736	0.912857142857143	0.299338687514363	0.967408585055644	0.916666666666667	0.812944563940617	run_model_0.4_gut_bacteria_step2
0.4	肠道细菌属	gut_bacteria	glmnet	0.91	0.96394511003522	0.307107264947865	0.837837837837838	0.61840096465515	0.92	0.666666666666667	0.851851851851852	0.884615384615385	23	4	8	2	0.799813268806739	0.924285714285714	0.633739045698397	1	1	1	run_model_0.4_gut_bacteria_step2
0.1	非靶代谢	metabolome	rf	0.966666666666667	0.989770114942529	0.488513513513513	0.810810810810811	0.549181690427248	0.92	0.583333333333333	0.821428571428571	0.867924528301887	23	5	7	2	0.798323719018285	0.957619047619048	0.770760109397385	1	1	1	run_model_0.1_metabolome_step2
0.5	肠道真菌属	gut_fungi	rpart	0.85	0.882915222915223	0.625	0.864864864864865	0.686202685708914	0.92	0.75	0.884615384615385	0.901960784313726	23	3	9	2	0.796546430873611	0.92952380952381	0.877370463024474	0.984697933227345	0.972222222222222	0.938970419785957	run_model_0.5_gut_fungi_step2
0.2	口腔细菌属	oral_bacteria	rf	0.843333333333333	0.905438764122945	0.546253948007774	0.864864864864865	0.683749389406109	0.96	0.666666666666667	0.857142857142857	0.90566037735849	24	4	8	1	0.793813954228015	0.843333333333333	0.514223239600299	1	1	1	run_model_0.2_oral_bacteria_step2
0.1	非靶代谢	metabolome	naive_bayes	0.923333333333333	0.970002735325104	0.9836704142252	0.810810810810811	0.578542598657643	0.84	0.75	0.875	0.857142857142857	21	3	9	4	0.788111667918052	0.956190476190476	0.837525137236329	0.982909379968203	0.953703703703704	0.901604022223622	run_model_0.1_metabolome_step2
0.1	非靶代谢	metabolome	glmnet	0.926666666666667	0.974413995022691	0.494344926691011	0.810810810810811	0.549181690427248	0.92	0.583333333333333	0.821428571428571	0.867924528301887	23	5	7	2	0.779555913022293	0.972857142857143	0.75583297036645	1	1	1	run_model_0.1_metabolome_step2
0.2	口腔细菌属	oral_bacteria	adaboost	0.85	0.92131586744312	0.488378192878183	0.810810810810811	0.559886768439114	0.88	0.666666666666667	0.846153846153846	0.862745098039216	22	4	8	3	0.746147783947467	0.859523809523809	0.535346720524327	1	1	1	run_model_0.2_oral_bacteria_step2
0.2	口腔细菌属	oral_bacteria	xgboost	0.836666666666667	0.897873645068382	0.528481513261795	0.810810810810811	0.549181690427248	0.92	0.583333333333333	0.821428571428571	0.867924528301887	23	5	7	2	0.735228895524577	0.849047619047619	0.526897117961764	1	1	1	run_model_0.2_oral_bacteria_step2
0.2	口腔细菌属	oral_bacteria	glmnet	0.88	0.963332889539786	0.621345084634439	0.756756756756757	0.433570851169313	0.84	0.583333333333333	0.807692307692308	0.823529411764706	21	5	7	4	0.709429955899763	0.908571428571429	0.522819875063593	0.967806041335453	0.907407407407407	0.794743479872507	run_model_0.2_oral_bacteria_step2
0.2	口腔细菌属	oral_bacteria	naive_bayes	0.816666666666667	0.91090338921177	0.00821006890968974	0.783783783783784	0.506666666666667	0.84	0.666666666666667	0.84	0.84	21	4	8	4	0.70794607036149	0.775714285714286	0.310174703280607	0.847376788553259	0.814814814814815	0.577980971295466	run_model_0.2_oral_bacteria_step2
0.2	口腔细菌属	oral_bacteria	nnet	0.823333333333333	0.9173340007908	0.499685839668844	0.756756756756757	0.401663208837122	0.96	0.333333333333333	0.75	0.842105263157895	24	8	4	1	0.670462336646046	0.841428571428571	0.476727041260646	1	1	1	run_model_0.2_oral_bacteria_step2
0.2	口腔细菌属	oral_bacteria	svm	0.773333333333333	0.868187008529872	0.493587104346538	0.756756756756757	0.401663208837122	0.96	0.333333333333333	0.75	0.842105263157895	24	8	4	1	0.645504987033	0.837619047619048	0.284641865374294	1	1	1	run_model_0.2_oral_bacteria_step2
0.4	肠道细菌属	gut_bacteria	rpart	0.693333333333333	0.818211340752517	0.571428571428572	0.756756756756757	0.457604315322429	0.8	0.666666666666667	0.833333333333333	0.816326530612245	20	4	8	5	0.62658559091399	0.715714285714286	0.396202521273716	0.937798092209857	0.944444444444444	0.869971776058751	run_model_0.4_gut_bacteria_step2
0.2	口腔细菌属	oral_bacteria	kknn	0.775	0.880447502214709	0.75	0.648648648648649	0.327805034053593	0.6	0.75	0.833333333333333	0.697674418604651	15	3	9	10	0.60480143432679	0.778571428571429	0.306471361950136	0.825119236883943	0.703703703703704	0.485910385792141	run_model_0.2_oral_bacteria_step2
0.2	口腔细菌属	oral_bacteria	rpart	0.711666666666667	0.828093598905594	0.459899749373434	0.72972972972973	0.321733655067149	0.92	0.333333333333333	0.741935483870968	0.821428571428571	23	8	4	2	0.583720918678242	0.61452380952381	0.289639135326303	0.846780604133546	0.861111111111111	0.66759342049839	run_model_0.2_oral_bacteria_step2
0.1	非靶代谢	metabolome	nnet	0.661666666666667	0.854445062410686	0.644628441043443	0.540540540540541	0.291632273104417	0.36	0.916666666666667	0.9	0.514285714285714	9	1	11	16	0.523624629788162	0.683571428571429	0.198768947535545	0.629173290937997	0.490740740740741	0.230208510694943	run_model_0.1_metabolome_step2
0.6	5组学单模型入选biomarkers联合	joint_selected_biomarkers	nnet	0.618333333333334	0.786037657956279	0.688039945799834	0.513513513513513	0.0594913076530892	0.48	0.583333333333333	0.705882352941177	0.571428571428571	12	5	7	13	0.415400867603422	0.760952380952381	0.351230718246739	0.646263910969793	0.638888888888889	0.249462711100544	run_model_0.6_joint_selected_biomarkers_step2
