Branch	Model	Feature	Description	Importance_Available
run_model_0.1	naive_bayes	Genus_Enterobacteriaceae_unclassified	Genus_Enterobacteriaceae_unclassified	TRUE
run_model_0.1	naive_bayes	Genus_Eubacterium_coprostanoligenes_group_Incertae_Sedis	Genus_Eubacterium_coprostanoligenes_group_Incertae_Sedis	TRUE
run_model_0.1	naive_bayes	Genus_Eubacterium_ventriosum_group	Genus_Eubacterium_ventriosum_group	TRUE
run_model_0.1	naive_bayes	Genus_Faecalibacterium	Genus_Faecalibacterium	TRUE
run_model_0.1	naive_bayes	Genus_Faecalimonas	Genus_Faecalimonas	TRUE
run_model_0.1	naive_bayes	Genus_Fusicatenibacter	Genus_Fusicatenibacter	TRUE
run_model_0.1	naive_bayes	Genus_Gemella	Genus_Gemella	TRUE
run_model_0.1	naive_bayes	Genus_Ligilactobacillus	Genus_Ligilactobacillus	TRUE
run_model_0.1	naive_bayes	Genus_Massilia	Genus_Massilia	TRUE
run_model_0.1	naive_bayes	Genus_Parabacteroides	Genus_Parabacteroides	TRUE
run_model_0.1	naive_bayes	Genus_Ruminococcaceae_unclassified	Genus_Ruminococcaceae_unclassified	TRUE
run_model_0.1	kknn	Genus_Escherichia_Shigella	Genus_Escherichia_Shigella	TRUE
run_model_0.1	kknn	Genus_Lachnospira	Genus_Lachnospira	TRUE
run_model_0.1	kknn	Genus_Lachnospiraceae_FCS020_group	Genus_Lachnospiraceae_FCS020_group	TRUE
run_model_0.1	kknn	Genus_Lachnospiraceae_ND3007_group	Genus_Lachnospiraceae_ND3007_group	TRUE
run_model_0.1	kknn	Genus_Lachnospiraceae_UCG_004	Genus_Lachnospiraceae_UCG_004	TRUE
run_model_0.1	kknn	Genus_Oscillibacter	Genus_Oscillibacter	TRUE
run_model_0.1	kknn	Genus_Sutterellaceae_unclassified	Genus_Sutterellaceae_unclassified	TRUE
run_model_0.1	kknn	Genus_Blautia	Genus_Blautia	TRUE
run_model_0.1	kknn	Genus_Butyribacter	Genus_Butyribacter	TRUE
run_model_0.1	kknn	Genus_Collinsella	Genus_Collinsella	TRUE
run_model_0.1	kknn	Genus_Enterobacter	Genus_Enterobacter	TRUE
run_model_0.1	kknn	Genus_Lachnospiraceae_GCA_900066575	Genus_Lachnospiraceae_GCA_900066575	TRUE
run_model_0.1	kknn	Genus_Lachnospiraceae_unclassified	Genus_Lachnospiraceae_unclassified	TRUE
run_model_0.1	kknn	Genus_Neisseria	Genus_Neisseria	TRUE
run_model_0.1	kknn	Genus_Saccharimonadaceae_Incertae_Sedis	Genus_Saccharimonadaceae_Incertae_Sedis	TRUE
run_model_0.1	kknn	Genus_Sutterella	Genus_Sutterella	TRUE
run_model_0.1	kknn	Genus_Agathobaculum	Genus_Agathobaculum	TRUE
run_model_0.1	kknn	Genus_Bifidobacterium	Genus_Bifidobacterium	TRUE
run_model_0.1	kknn	Genus_Desulfovibrio	Genus_Desulfovibrio	TRUE
run_model_0.1	kknn	Genus_Enterobacteriaceae_unclassified	Genus_Enterobacteriaceae_unclassified	TRUE
run_model_0.1	kknn	Genus_Eubacterium_coprostanoligenes_group_Incertae_Sedis	Genus_Eubacterium_coprostanoligenes_group_Incertae_Sedis	TRUE
run_model_0.1	kknn	Genus_Eubacterium_ventriosum_group	Genus_Eubacterium_ventriosum_group	TRUE
run_model_0.1	kknn	Genus_Faecalibacterium	Genus_Faecalibacterium	TRUE
run_model_0.1	kknn	Genus_Faecalimonas	Genus_Faecalimonas	TRUE
run_model_0.1	kknn	Genus_Fusicatenibacter	Genus_Fusicatenibacter	TRUE
run_model_0.1	kknn	Genus_Gemella	Genus_Gemella	TRUE
run_model_0.1	kknn	Genus_Ligilactobacillus	Genus_Ligilactobacillus	TRUE
run_model_0.1	kknn	Genus_Massilia	Genus_Massilia	TRUE
run_model_0.1	kknn	Genus_Parabacteroides	Genus_Parabacteroides	TRUE
run_model_0.1	kknn	Genus_Ruminococcaceae_unclassified	Genus_Ruminococcaceae_unclassified	TRUE
run_model_0.1	rpart	Genus_Escherichia_Shigella	Genus_Escherichia_Shigella	TRUE
run_model_0.1	rpart	Genus_Lachnospira	Genus_Lachnospira	TRUE
run_model_0.1	rpart	Genus_Lachnospiraceae_FCS020_group	Genus_Lachnospiraceae_FCS020_group	FALSE
run_model_0.1	rpart	Genus_Lachnospiraceae_ND3007_group	Genus_Lachnospiraceae_ND3007_group	TRUE
run_model_0.1	rpart	Genus_Lachnospiraceae_UCG_004	Genus_Lachnospiraceae_UCG_004	TRUE
run_model_0.1	rpart	Genus_Oscillibacter	Genus_Oscillibacter	TRUE
run_model_0.1	rpart	Genus_Sutterellaceae_unclassified	Genus_Sutterellaceae_unclassified	TRUE
run_model_0.1	rpart	Genus_Blautia	Genus_Blautia	FALSE
run_model_0.1	rpart	Genus_Butyribacter	Genus_Butyribacter	FALSE
run_model_0.1	rpart	Genus_Collinsella	Genus_Collinsella	FALSE
run_model_0.1	rpart	Genus_Enterobacter	Genus_Enterobacter	FALSE
run_model_0.1	rpart	Genus_Lachnospiraceae_GCA_900066575	Genus_Lachnospiraceae_GCA_900066575	FALSE
run_model_0.1	rpart	Genus_Lachnospiraceae_unclassified	Genus_Lachnospiraceae_unclassified	TRUE
run_model_0.1	rpart	Genus_Neisseria	Genus_Neisseria	FALSE
run_model_0.1	rpart	Genus_Saccharimonadaceae_Incertae_Sedis	Genus_Saccharimonadaceae_Incertae_Sedis	FALSE
run_model_0.1	rpart	Genus_Sutterella	Genus_Sutterella	FALSE
run_model_0.1	rpart	Genus_Agathobaculum	Genus_Agathobaculum	FALSE
run_model_0.1	rpart	Genus_Bifidobacterium	Genus_Bifidobacterium	FALSE
run_model_0.1	rpart	Genus_Desulfovibrio	Genus_Desulfovibrio	FALSE
run_model_0.1	rpart	Genus_Enterobacteriaceae_unclassified	Genus_Enterobacteriaceae_unclassified	FALSE
run_model_0.1	rpart	Genus_Eubacterium_coprostanoligenes_group_Incertae_Sedis	Genus_Eubacterium_coprostanoligenes_group_Incertae_Sedis	FALSE
run_model_0.1	rpart	Genus_Eubacterium_ventriosum_group	Genus_Eubacterium_ventriosum_group	TRUE
run_model_0.1	rpart	Genus_Faecalibacterium	Genus_Faecalibacterium	TRUE
run_model_0.1	rpart	Genus_Faecalimonas	Genus_Faecalimonas	FALSE
run_model_0.1	rpart	Genus_Fusicatenibacter	Genus_Fusicatenibacter	TRUE
run_model_0.1	rpart	Genus_Gemella	Genus_Gemella	FALSE
run_model_0.1	rpart	Genus_Ligilactobacillus	Genus_Ligilactobacillus	FALSE
run_model_0.1	rpart	Genus_Massilia	Genus_Massilia	FALSE
run_model_0.1	rpart	Genus_Parabacteroides	Genus_Parabacteroides	FALSE
run_model_0.1	rpart	Genus_Ruminococcaceae_unclassified	Genus_Ruminococcaceae_unclassified	TRUE
run_model_0.1	adaboost	Genus_Escherichia_Shigella	Genus_Escherichia_Shigella	TRUE
run_model_0.1	adaboost	Genus_Lachnospira	Genus_Lachnospira	TRUE
run_model_0.1	adaboost	Genus_Lachnospiraceae_FCS020_group	Genus_Lachnospiraceae_FCS020_group	TRUE
run_model_0.1	adaboost	Genus_Lachnospiraceae_ND3007_group	Genus_Lachnospiraceae_ND3007_group	TRUE
run_model_0.1	adaboost	Genus_Lachnospiraceae_UCG_004	Genus_Lachnospiraceae_UCG_004	TRUE
run_model_0.1	adaboost	Genus_Oscillibacter	Genus_Oscillibacter	TRUE
run_model_0.1	adaboost	Genus_Sutterellaceae_unclassified	Genus_Sutterellaceae_unclassified	TRUE
run_model_0.1	adaboost	Genus_Blautia	Genus_Blautia	TRUE
run_model_0.1	adaboost	Genus_Butyribacter	Genus_Butyribacter	TRUE
run_model_0.1	adaboost	Genus_Collinsella	Genus_Collinsella	TRUE
run_model_0.1	adaboost	Genus_Enterobacter	Genus_Enterobacter	TRUE
run_model_0.1	adaboost	Genus_Lachnospiraceae_GCA_900066575	Genus_Lachnospiraceae_GCA_900066575	TRUE
run_model_0.1	adaboost	Genus_Lachnospiraceae_unclassified	Genus_Lachnospiraceae_unclassified	TRUE
