Branch	Model	Train_AUC	Test_AUC	Test_AUC_Reversed	Test_AUC_Direction_Flag	Selected_Biomarker_Count	Selected_Biomarkers
run_model_0.3	rf	1	1	0	OK	24	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate; 1,4-Dioxo-1,4-dihydronaphthalene-2-carboxylic acid; 1-deoxy-L-glycero-tetrulose 4-phosphate; 1-Hydroxyphenanthrene; 10-Acetoxytoxol; 2-hydroxy-5-(methylthio)-3-oxopent-1-enyl phosphate; 2-Oxo-3-hydroxy-4-phosphobutanoic acid; 3,3',4',5,6,7,8-Heptahydroxyflavone; Acetylpterosin C; Beta-D-Fructose 6-phosphate; Crocetindial; Deoxyuridine; desethylzaleplon; Ectoine; Ellagic acid; FA 4_2;O3; Glutamylserine; Inosine 5'-monophosphate (IMP); Neryl diphosphate; Phosphodimethylethanolamine; PROPAMOCARB; Selenocysteine; selenodiglutathione; UDP-N-acetyl-beta-L-fucosamine
run_model_0.3	svm	1	1	0	OK	24	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate; 1,4-Dioxo-1,4-dihydronaphthalene-2-carboxylic acid; 1-deoxy-L-glycero-tetrulose 4-phosphate; 1-Hydroxyphenanthrene; 10-Acetoxytoxol; 2-hydroxy-5-(methylthio)-3-oxopent-1-enyl phosphate; 2-Oxo-3-hydroxy-4-phosphobutanoic acid; 3,3',4',5,6,7,8-Heptahydroxyflavone; Acetylpterosin C; Beta-D-Fructose 6-phosphate; Crocetindial; Deoxyuridine; desethylzaleplon; Ectoine; Ellagic acid; FA 4_2;O3; Glutamylserine; Inosine 5'-monophosphate (IMP); Neryl diphosphate; Phosphodimethylethanolamine; PROPAMOCARB; Selenocysteine; selenodiglutathione; UDP-N-acetyl-beta-L-fucosamine
run_model_0.3	naive_bayes	1	1	0	OK	24	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate; 1,4-Dioxo-1,4-dihydronaphthalene-2-carboxylic acid; 1-deoxy-L-glycero-tetrulose 4-phosphate; 1-Hydroxyphenanthrene; 10-Acetoxytoxol; 2-hydroxy-5-(methylthio)-3-oxopent-1-enyl phosphate; 2-Oxo-3-hydroxy-4-phosphobutanoic acid; 3,3',4',5,6,7,8-Heptahydroxyflavone; Acetylpterosin C; Beta-D-Fructose 6-phosphate; Crocetindial; Deoxyuridine; desethylzaleplon; Ectoine; Ellagic acid; FA 4_2;O3; Glutamylserine; Inosine 5'-monophosphate (IMP); Neryl diphosphate; Phosphodimethylethanolamine; PROPAMOCARB; Selenocysteine; selenodiglutathione; UDP-N-acetyl-beta-L-fucosamine
run_model_0.3	kknn	1	1	0	OK	24	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate; 1,4-Dioxo-1,4-dihydronaphthalene-2-carboxylic acid; 1-deoxy-L-glycero-tetrulose 4-phosphate; 1-Hydroxyphenanthrene; 10-Acetoxytoxol; 2-hydroxy-5-(methylthio)-3-oxopent-1-enyl phosphate; 2-Oxo-3-hydroxy-4-phosphobutanoic acid; 3,3',4',5,6,7,8-Heptahydroxyflavone; Acetylpterosin C; Beta-D-Fructose 6-phosphate; Crocetindial; Deoxyuridine; desethylzaleplon; Ectoine; Ellagic acid; FA 4_2;O3; Glutamylserine; Inosine 5'-monophosphate (IMP); Neryl diphosphate; Phosphodimethylethanolamine; PROPAMOCARB; Selenocysteine; selenodiglutathione; UDP-N-acetyl-beta-L-fucosamine
run_model_0.3	rpart	1	1	0	OK	24	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate; 1,4-Dioxo-1,4-dihydronaphthalene-2-carboxylic acid; 1-deoxy-L-glycero-tetrulose 4-phosphate; 1-Hydroxyphenanthrene; 10-Acetoxytoxol; 2-hydroxy-5-(methylthio)-3-oxopent-1-enyl phosphate; 2-Oxo-3-hydroxy-4-phosphobutanoic acid; 3,3',4',5,6,7,8-Heptahydroxyflavone; Acetylpterosin C; Beta-D-Fructose 6-phosphate; Crocetindial; Deoxyuridine; desethylzaleplon; Ectoine; Ellagic acid; FA 4_2;O3; Glutamylserine; Inosine 5'-monophosphate (IMP); Neryl diphosphate; Phosphodimethylethanolamine; PROPAMOCARB; Selenocysteine; selenodiglutathione; UDP-N-acetyl-beta-L-fucosamine
run_model_0.3	adaboost	1	1	0	OK	24	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate; 1,4-Dioxo-1,4-dihydronaphthalene-2-carboxylic acid; 1-deoxy-L-glycero-tetrulose 4-phosphate; 1-Hydroxyphenanthrene; 10-Acetoxytoxol; 2-hydroxy-5-(methylthio)-3-oxopent-1-enyl phosphate; 2-Oxo-3-hydroxy-4-phosphobutanoic acid; 3,3',4',5,6,7,8-Heptahydroxyflavone; Acetylpterosin C; Beta-D-Fructose 6-phosphate; Crocetindial; Deoxyuridine; desethylzaleplon; Ectoine; Ellagic acid; FA 4_2;O3; Glutamylserine; Inosine 5'-monophosphate (IMP); Neryl diphosphate; Phosphodimethylethanolamine; PROPAMOCARB; Selenocysteine; selenodiglutathione; UDP-N-acetyl-beta-L-fucosamine
run_model_0.3	nnet	1	1	0	OK	24	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate; 1,4-Dioxo-1,4-dihydronaphthalene-2-carboxylic acid; 1-deoxy-L-glycero-tetrulose 4-phosphate; 1-Hydroxyphenanthrene; 10-Acetoxytoxol; 2-hydroxy-5-(methylthio)-3-oxopent-1-enyl phosphate; 2-Oxo-3-hydroxy-4-phosphobutanoic acid; 3,3',4',5,6,7,8-Heptahydroxyflavone; Acetylpterosin C; Beta-D-Fructose 6-phosphate; Crocetindial; Deoxyuridine; desethylzaleplon; Ectoine; Ellagic acid; FA 4_2;O3; Glutamylserine; Inosine 5'-monophosphate (IMP); Neryl diphosphate; Phosphodimethylethanolamine; PROPAMOCARB; Selenocysteine; selenodiglutathione; UDP-N-acetyl-beta-L-fucosamine
run_model_1.0	glmnet	0.75531914893617	0.75	0.25	OK	15	Clinical_Age; Clinical_BMI; Clinical_Drinking; Clinical_ECOG; Clinical_LMR; Clinical_M_category; Clinical_NLR; Clinical_N_category; Clinical_PIV; Clinical_PLR; Clinical_SII; Clinical_SIRI; Clinical_Sex; Clinical_Smoking; Clinical_T_category
run_model_1.0	xgboost	0.5	0.5	NA	SINGLE_CLASS_OR_CONSTANT_PROB	15	Clinical_Age; Clinical_BMI; Clinical_Drinking; Clinical_ECOG; Clinical_LMR; Clinical_M_category; Clinical_NLR; Clinical_N_category; Clinical_PIV; Clinical_PLR; Clinical_SII; Clinical_SIRI; Clinical_Sex; Clinical_Smoking; Clinical_T_category
run_model_1.0	rf	0.993617021276596	0.671875	0.328125	OK	15	Clinical_Age; Clinical_BMI; Clinical_Drinking; Clinical_ECOG; Clinical_LMR; Clinical_M_category; Clinical_NLR; Clinical_N_category; Clinical_PIV; Clinical_PLR; Clinical_SII; Clinical_SIRI; Clinical_Sex; Clinical_Smoking; Clinical_T_category
