model_id	modality	label_cn	feature_id	raw_feature	source_file
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Acholeplasma	Acholeplasma	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Achromobacter	Achromobacter	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Actinobacillus	Actinobacillus	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Actinomyces	Actinomyces	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Actinomycetaceae_F0332	Actinomycetaceae_F0332	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Aeromicrobium	Aeromicrobium	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Aggregatibacter	Aggregatibacter	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Aliidiomarina	Aliidiomarina	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Alloprevotella	Alloprevotella	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Alloscardovia	Alloscardovia	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Alysiella	Alysiella	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Aminipila	Aminipila	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Anaeroglobus	Anaeroglobus	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Anaerostipes	Anaerostipes	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Anaerovoracaceae_Family_XIII_UCG_001	Anaerovoracaceae_Family_XIII_UCG-001	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Anaerovoracaceae_Incertae_Sedis	Anaerovoracaceae_Incertae_Sedis	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Arachnia	Arachnia	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Atopobium	Atopobium	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Bacilli_RF39_Incertae_Sedis	Bacilli_RF39_Incertae_Sedis	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Bacteroidales_p_2534_18B5_gut_group_Incertae_Sedis	Bacteroidales_p-2534-18B5_gut_group_Incertae_Sedis	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Bacteroides	Bacteroides	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Bergeyella	Bergeyella	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Bifidobacterium	Bifidobacterium	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Bulleidia	Bulleidia	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Butyrivibrio	Butyrivibrio	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Campylobacter	Campylobacter	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Candidatus_Saccharimonas	Candidatus_Saccharimonas	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Capnocytophaga	Capnocytophaga	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Cardiobacterium	Cardiobacterium	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Catonella	Catonella	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Centipeda	Centipeda	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Christensenellaceae_R_7_group	Christensenellaceae_R-7_group	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Clostridia_UCG_014_Incertae_Sedis	Clostridia_UCG-014_Incertae_Sedis	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Clostridia_vadinBB60_group_Incertae_Sedis	Clostridia_vadinBB60_group_Incertae_Sedis	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Comamonas	Comamonas	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Corynebacterium	Corynebacterium	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Cryptobacterium	Cryptobacterium	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Defluviitaleaceae_UCG_011	Defluviitaleaceae_UCG-011	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Desulfobulbus	Desulfobulbus	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Desulfovibrionaceae_Incertae_Sedis	Desulfovibrionaceae_Incertae_Sedis	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Dialister	Dialister	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Dietzia	Dietzia	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Eggerthia	Eggerthia	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Eikenella	Eikenella	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Erysipelotrichaceae_UCG_003	Erysipelotrichaceae_UCG-003	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Escherichia_Shigella	Escherichia-Shigella	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Faecalibacterium	Faecalibacterium	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Filifactor	Filifactor	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Fretibacterium	Fretibacterium	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Fusobacterium	Fusobacterium	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Gemella	Gemella	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Gracilibacteria_Absconditabacteriales_SR1_Incertae_Sedis	Gracilibacteria_Absconditabacteriales_(SR1)_Incertae_Sedis	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Gracilibacteria_Incertae_Sedis	Gracilibacteria_Incertae_Sedis	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Gracilibacteria_JGI_0000069_P22_Incertae_Sedis	Gracilibacteria_JGI_0000069-P22_Incertae_Sedis	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Granulicatella	Granulicatella	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Haemophilus	Haemophilus	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Halomonas	Halomonas	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Hornefia	Hornefia	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Howardella	Howardella	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Hoylesella	Hoylesella	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Izemoplasmatales_Incertae_Sedis	Izemoplasmatales_Incertae_Sedis	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Johnsonella	Johnsonella	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Kingella	Kingella	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Lachnoanaerobaculum	Lachnoanaerobaculum	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Lachnospiraceae_Incertae_Sedis	Lachnospiraceae_Incertae_Sedis	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Lachnospiraceae_NK4A136_group	Lachnospiraceae_NK4A136_group	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Lachnospiraceae_unclassified	Lachnospiraceae_unclassified	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Lactiplantibacillus	Lactiplantibacillus	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Lactobacillales_unclassified	Lactobacillales_unclassified	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Lactobacillus	Lactobacillus	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Lancefieldella	Lancefieldella	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Lautropia	Lautropia	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Lentimicrobium	Lentimicrobium	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Leptotrichia	Leptotrichia	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Leptotrichiaceae_Incertae_Sedis	Leptotrichiaceae_Incertae_Sedis	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Leuconostoc	Leuconostoc	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Ligilactobacillus	Ligilactobacillus	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Limosilactobacillus	Limosilactobacillus	口腔细菌/genus_oral_bacteria.xls
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Massilia	Massilia	口腔细菌/genus_oral_bacteria.xls
