Features	HC1	HC2	HC3	HC4	HC5	HC6	HC7	HC8	HC9	HC10	HC11	HC12	HC13	HC14	HC15	HC16	HC17	HC18	HC19	HC21	HC22	HC23	HC24	HC25	HC26	HC27	HC28	HC29	HC30	HC31	HC32	HC33	HC34	HC35	HC36	HC38	HC39	HC40	HC41	HC42	HC43	HC44	HC45	HC46	HC47	HC48	AF33	AF36	AF37	AF38	AF39	AF40	AF41	AF43	AF44	AF45	AF46	AF47	AF48	AF49	AF50	AF51	AF52	AF53	AF54	AF55	AF58	AF59	AF62	AF63	AF64	AF67	AF68	AF69	AF70	AF71	AF73	AF74	AF76	AF78	AF80	AF81	AF82	AF90	AF97	AF98	AF102	AF103	AF104	AF106	AF108	AF109	AF112	AF115	AF117	AF119	AF120	AF123	AF125	AF126	AF129	AF130	AF136	AF137	AF139	AF140	AF141	AF142	AF164	AF165	AF166	AF167	AF169	AF171	AF172	AF176	AF177	AF178	AF179	AF180	AF181	AF182	AF183	AF184	AF186	AF216	AF217	AF219	AF220	AF229	AF96	AF213	AF4	AF6	AF7	AF8	AF10	AF11	AF13	AF15	AF17	AF20	AF21	AF24	AF25
Genus_GutFungi_Kluyveromyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Genus_GutFungi_Kodamaea	0	0	0	0	0	10	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	7	0	0	2	0	0	0	0	0	5	0	0	0
Genus_GutFungi_Komagataella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	24	9	41	0	307	50	0	0	9	0	12	45	26	0	0	0	19	0	0	41	2	0	19	38	4	0	0	14	4	0	28	13	13	0	26	13	0	136	0	2	0	1	11	4	0	12	44	25	29	21	3	14	3	5	101	4	16	0	1	1	12	16	12	14	11	23	5	17	22	8	0	0	64	13	24	46	33	0	41	40	60	46	8	0	79	0	14	3	10	22	5	8	7	14	9	15	30	13
Genus_GutFungi_Kurtzmaniella	0	1	0	0	0	0	0	0	0	96	0	0	0	18	0	729	0	2	0	0	123	0	0	0	0	0	0	0	0	119	13	0	0	0	0	11	0	0	0	0	0	0	0	465	0	0	43	0	87	118	0	0	0	0	151	0	0	0	0	0	0	0	0	0	8	0	0	0	6	0	0	0	0	0	0	0	0	239	39	22	0	0	0	9	0	0	1	0	0	0	14	0	0	13	22	0	0	0	0	12	0	0	0	0	3	17	0	0	182	83	211	66	186	21	161	220	45	72	0	59	0	54	36	113	0	40	24	33	0	3	0	69	42	253	135	215	104	203	119	52	162	116	66	157	179
Genus_GutFungi_Lecanorales_gen_Incertae_sedis	7	0	28	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	2	1	0	5	0	0	0	0	0	6	0	0	0	0	3	0	0	0	25	0	0	0	0	0	0	0	0	1	0	23	0	0	0	0	0	0	0	10	9	0	0	0	6	0	0	0	0	2	0	0	0	0	9	3	0	4	0	0	0	1	0	0	0	0	0	0	0	0	2	0	22	0	4	0	0	0	5	0	0	0	2	0	2	543	3	1	0	0	0	0
Genus_GutFungi_Lecanoromycetes_gen_Incertae_sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	1	0	4	0	0	0	0	0	11	3	2	6	27	60	70	0	330	0	11	3	315	6	11	107	72	147	21	46	0	1	0	3	5	0	3	83	285	4	615	0	0	0	5	15	4	26	0	0	0	0	10	7	0	2	1	109	0	3	0	13	0	0	0	61	19	24	2	11	0	4	20	16	58	2	2	9	44	5	1	39	2	25	98	9	106	12	0	438	3	34	28	26	0	260	28	65	30	90	21	53	13	10	41	9	6	25	10
Genus_GutFungi_Lodderomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
Genus_GutFungi_Macrophomina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Genus_GutFungi_Malassezia	4	5	740	6	2987	12	0	801	291	0	0	22	0	12	69	6053	0	149	0	407	0	1	23	0	108	0	0	20	0	0	0	0	0	0	150	0	39	275	27	135	10	2	0	290	7	0	513	97	73	12	313	730	643	734	29	63	140	33	82	206	241	11	340	195	119	200	79	35	34	98	7	20	27	29	356	10	34	370	75	83	57	100	60	22	446	5	32	392	3	17	44	0	67	133	564	72	77	52	233	38	0	292	13	201	1	37	4	204	35	34	47	67	43	12	52	18	26	202	20	649	51	125	279	124	22	591	106	73	32	0	187	25	15	106	37	79	17	82	29	14	96	115	28	68	36
Genus_GutFungi_Meyerozyma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	1	0	161	0	13	0	0	0	0	2	0	0	15	0	0	18	14	0	6	16	0	0	2	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	17	7	32	0	27	2	0	12	6	9	0	26
