Branch_ID	Branch_Label	Branch_Dir	Model	Parameter	Value
0.3	口腔真菌属	run_model_0.3_oral_fungi_step2	rpart	xval	0
0.3	口腔真菌属	run_model_0.3_oral_fungi_step2	rpart	cp	0.0163541919641449
0.3	口腔真菌属	run_model_0.3_oral_fungi_step2	rpart	maxdepth	17
0.3	口腔真菌属	run_model_0.3_oral_fungi_step2	rpart	minbucket	6
0.3	口腔真菌属	run_model_0.3_oral_fungi_step2	adaboost	I	61
0.3	口腔真菌属	run_model_0.3_oral_fungi_step2	nnet	MaxNWts	5000
0.3	口腔真菌属	run_model_0.3_oral_fungi_step2	nnet	size	5
0.3	口腔真菌属	run_model_0.3_oral_fungi_step2	nnet	decay	0.0872242194312965
0.3	口腔真菌属	run_model_0.3_oral_fungi_step2	nnet	maxit	446
0.4	肠道细菌属	run_model_0.4_gut_bacteria_step2	glmnet	alpha	0.000357974320650101
0.4	肠道细菌属	run_model_0.4_gut_bacteria_step2	glmnet	lambda	0.0363318306293153
0.4	肠道细菌属	run_model_0.4_gut_bacteria_step2	glmnet	use_pred_offset	TRUE
0.4	肠道细菌属	run_model_0.4_gut_bacteria_step2	glmnet	standardize	FALSE
0.4	肠道细菌属	run_model_0.4_gut_bacteria_step2	glmnet	thresh	0.000026240529381655
0.4	肠道细菌属	run_model_0.4_gut_bacteria_step2	glmnet	maxit	2195
0.4	肠道细菌属	run_model_0.4_gut_bacteria_step2	xgboost	eta	0.0305871140211821
0.4	肠道细菌属	run_model_0.4_gut_bacteria_step2	xgboost	max_depth	8
0.4	肠道细菌属	run_model_0.4_gut_bacteria_step2	xgboost	nrounds	367
0.4	肠道细菌属	run_model_0.4_gut_bacteria_step2	xgboost	nthread	1
0.4	肠道细菌属	run_model_0.4_gut_bacteria_step2	xgboost	verbose	0
0.4	肠道细菌属	run_model_0.4_gut_bacteria_step2	xgboost	verbosity	0
0.4	肠道细菌属	run_model_0.4_gut_bacteria_step2	xgboost	min_child_weight	1.89684189879335
0.4	肠道细菌属	run_model_0.4_gut_bacteria_step2	xgboost	subsample	0.961802170844749
0.4	肠道细菌属	run_model_0.4_gut_bacteria_step2	xgboost	colsample_bytree	0.606212405022234
0.4	肠道细菌属	run_model_0.4_gut_bacteria_step2	rf	importance	impurity
0.4	肠道细菌属	run_model_0.4_gut_bacteria_step2	rf	num.threads	1
0.4	肠道细菌属	run_model_0.4_gut_bacteria_step2	rf	num.trees	702
0.4	肠道细菌属	run_model_0.4_gut_bacteria_step2	rf	mtry	5
0.4	肠道细菌属	run_model_0.4_gut_bacteria_step2	rf	max.depth	8
0.4	肠道细菌属	run_model_0.4_gut_bacteria_step2	rf	min.node.size	3
0.4	肠道细菌属	run_model_0.4_gut_bacteria_step2	svm	cost	1.09831047335404
0.4	肠道细菌属	run_model_0.4_gut_bacteria_step2	svm	kernel	radial
0.4	肠道细菌属	run_model_0.4_gut_bacteria_step2	svm	type	C-classification
0.4	肠道细菌属	run_model_0.4_gut_bacteria_step2	svm	gamma	0.0214263653748579
0.4	肠道细菌属	run_model_0.4_gut_bacteria_step2	naive_bayes	laplace	1.61141474614851
0.4	肠道细菌属	run_model_0.4_gut_bacteria_step2	kknn	k	8
0.4	肠道细菌属	run_model_0.4_gut_bacteria_step2	kknn	distance	1.61728382017463
0.4	肠道细菌属	run_model_0.4_gut_bacteria_step2	kknn	kernel	gaussian
0.4	肠道细菌属	run_model_0.4_gut_bacteria_step2	rpart	xval	0
0.4	肠道细菌属	run_model_0.4_gut_bacteria_step2	rpart	cp	0.0104292820413735
0.4	肠道细菌属	run_model_0.4_gut_bacteria_step2	rpart	maxdepth	3
0.4	肠道细菌属	run_model_0.4_gut_bacteria_step2	rpart	minbucket	1
0.4	肠道细菌属	run_model_0.4_gut_bacteria_step2	adaboost	I	92
0.4	肠道细菌属	run_model_0.4_gut_bacteria_step2	nnet	MaxNWts	5000
0.4	肠道细菌属	run_model_0.4_gut_bacteria_step2	nnet	size	10
0.4	肠道细菌属	run_model_0.4_gut_bacteria_step2	nnet	decay	0.000167110873561633
0.4	肠道细菌属	run_model_0.4_gut_bacteria_step2	nnet	maxit	116
0.5	肠道真菌属	run_model_0.5_gut_fungi_step2	glmnet	alpha	0.210289461771026
0.5	肠道真菌属	run_model_0.5_gut_fungi_step2	glmnet	lambda	0.0236399408218752
0.5	肠道真菌属	run_model_0.5_gut_fungi_step2	glmnet	use_pred_offset	TRUE
0.5	肠道真菌属	run_model_0.5_gut_fungi_step2	glmnet	standardize	TRUE
0.5	肠道真菌属	run_model_0.5_gut_fungi_step2	glmnet	thresh	0.0000128327772049767
