feature_id	raw_id	raw_name	mz	rt	class	sub_class
Metabolite_M204T106	M204T106	Glutamic acid diethyl ester	204.1227	105.8	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
Metabolite_M147T357	M147T357	4-(1-Methylethenyl)benzaldehyde	147.0802	357	Benzene and substituted derivatives	Phenylpropenes
Metabolite_M157T33_1	M157T33_1	Phosphoglycolic acid	156.965	33	Organic phosphoric acids and derivatives	Phosphate esters
Metabolite_M139T394	M139T394	3,5,5-Trimethyl-2-cyclohexen-1-one	139.1115	394.1	Organooxygen compounds	Carbonyl compounds
Metabolite_M146T52	M146T52	4-Guanidinobutanoic acid	146.1173	52.5	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
Metabolite_M146T159	M146T159	2R-aminoheptanoic acid	146.1173	158.7		
Metabolite_M427T48_3	M427T48_3	8-oxo-dGDP	427.0296	47.9	Purine nucleotides	Purine deoxyribonucleotides
Metabolite_M414T387	M414T387	beta-Micropteroxanthin	414.2986	387.4	Prenol lipids	Sesterterpenoids
Metabolite_M362T295	M362T295	Histidyltryptophyldiketopiperazine	362.223	294.9		
Metabolite_M188T56	M188T56	n-carboxymethyllysine	188.0914	56.4	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
Metabolite_M243T259	M243T259	Leucyl-Lysine	243.1335	258.6	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
Metabolite_M197T235	M197T235	N-methylphenylalanine	197.1281	235	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
Metabolite_M403T577_2	M403T577_2	Acetyl tributyl citrate	403.2319	576.9	Carboxylic acids and derivatives	Tetracarboxylic acids and derivatives
Metabolite_M262T73	M262T73	Tolfenamic acid	262.0375	73	Benzene and substituted derivatives	Benzoic acids and derivatives
Metabolite_M268T472	M268T472	Heptabarbital	268.2266	472.2	Diazines	Pyrimidines and pyrimidine derivatives
Metabolite_M143T40_2	M143T40_2	3-Mercaptopyruvic acid	142.9776	40	Keto acids and derivatives	Alpha-keto acids and derivatives
Metabolite_M276T510	M276T510	HOMATROPINE	276.1589	510.1		
Metabolite_M151T79	M151T79	2-Ethyl-4-(2-furanyl)-2-propenal	151.0962	78.9	Heteroaromatic compounds	
Metabolite_M160T260	M160T260	Calystegin A3	160.1329	260	Tropane alkaloids	
Metabolite_M343T446	M343T446	6-deoxyerythronolide B	343.2625	446.5		
Metabolite_M212T356	M212T356	5-Isopropyl-2-(2-methylpropyl)-2-cyclohexen-1-one	212.1641	355.5	Prenol lipids	Monoterpenoids
Metabolite_M178T362	M178T362	Phenmetrazine	178.1223	362.4	Oxazinanes	Morpholines
Metabolite_M270T533	M270T533	Capsiamide	270.315	532.6	Carboxylic acids and derivatives	Carboxylic acid derivatives
Metabolite_M194T291	M194T291	Phosphocreatinine	194.0808	291	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
Metabolite_M286T434	M286T434	4,8 Dimethylnonanoyl carnitine	286.2735	434.1	Fatty Acyls	Fatty acid esters
Metabolite_M155T46	M155T46	L-Ornithine	155.0788	45.7	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
Metabolite_M209T644	M209T644	2-Phenoxyethyl isobutyrate	209.1532	644.2	Phenol ethers	
Metabolite_M283T558	M283T558	2-Nonadecanone	283.2626	558	Organooxygen compounds	Carbonyl compounds
Metabolite_M230T386	M230T386	12-Methyltridecanal	230.211	386.2	Fatty Acyls	Fatty aldehydes
Metabolite_M222T341	M222T341	3-(Dibutylamino)phenol	222.1848	340.9	Organonitrogen compounds	Amines
Metabolite_M585T57_2	M585T57_2	(all-E)-1,7-bis(4-hydroxyphenyl)-1,4,6-heptatrien-3-one	585.1955	56.6	Diarylheptanoids	Linear diarylheptanoids
Metabolite_M160T52	M160T52	4,4'-Diaminodibutylamine	160.0965	52.1	Organonitrogen compounds	Amines
Metabolite_M276T392	M276T392	N-Benzoylaspartic acid	276.1984	391.6	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
Metabolite_M542T505_3	M542T505_3	Boceprevir	542.3302	505.2	Peptidomimetics	Hybrid peptides
Metabolite_M244T374	M244T374	Amobarbital	244.2266	374.2	Diazines	Pyrimidines and pyrimidine derivatives
Metabolite_M196T189	M196T189	p-hydroxymexiletine	196.1328	189	Phenols	4-alkoxyphenols
Metabolite_M100T86	M100T86	2-Piperidinone	100.0391	86.1	Piperidines	Piperidinones
Metabolite_M219T324	M219T324	(+)-4,11-Eudesmadien-3-one	219.1375	323.6	Prenol lipids	Sesquiterpenoids
Metabolite_M335T350	M335T350	Gibberellin A125	335.1846	350.2	Prenol lipids	Diterpenoids
Metabolite_M239T301	M239T301	3-Methylcyclopentadecanone	239.0909	300.9	Organooxygen compounds	Carbonyl compounds
Metabolite_M137T70	M137T70	Hypoxanthine	137.0455	70.4	Imidazopyrimidines	Purines and purine derivatives
Metabolite_M174T86	M174T86	Bicifadine	174.1121	86.4	Piperidines	Phenylpiperidines
Metabolite_M475T323	M475T323	5,10-Methylene-THF	475.2038	322.9	Pteridines and derivatives	Pterins and derivatives
Metabolite_M242T394	M242T394	2,8-Quinolinediol 2-sulfate	242.2837	394	Quinolines and derivatives	Quinolones and derivatives
Metabolite_M198T295	M198T295	Beclamide	198.1273	295	Benzene and substituted derivatives	
Metabolite_M242T296	M242T296	Hexadecylamine	242.1534	296.4	Organonitrogen compounds	Amines
Metabolite_M328T386	M328T386	9-Hydroxy-12-oxooctadeca-10,15-dienoic acid	328.2475	386.2		
Metabolite_M202T242	M202T242	Aminoundecanoic acid	202.1797	241.9		
Metabolite_M202T56	M202T56	Misonidazole	202.1797	56.3	Allyl-type 1,3-dipolar organic compounds	Organic nitro compounds
Metabolite_M216T55	M216T55	2-Heptylbenzothiazole	216.0974	55.5	Benzothiazoles	
Metabolite_M362T475	M362T475	Prodigiosin	362.2967	475		
Metabolite_M162T84	M162T84	Aminoadipic acid	162.1121	83.8	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
Metabolite_M221T333	M221T333	2,6-Di-tert-butyl-4-methylphenol	221.1531	332.6	Benzene and substituted derivatives	Phenylpropanes
Metabolite_M230T408	M230T408	7-Deoxyloganetin	230.2473	407.7		
Metabolite_M705T498_3	M705T498_3	PC(O-16_0_18_0)	704.5936	497.7	Glycerophospholipids	Glycerophosphocholines
Metabolite_M359T518	M359T518	12-HETE	359.3701	518	Fatty Acyls	Eicosanoids
Metabolite_M235T527	M235T527	(Z)-alpha-Bergamotenoic acid	235.1687	527.3	Prenol lipids	Monoterpenoids
Metabolite_M239T518	M239T518	alpha-Kessyl alcohol	239.1636	517.7	Oxepanes	
Metabolite_M225T430	M225T430	5-(3',4',5'-Trihydroxyphenyl)-gamma-valerolactone	225.1956	430.1	Phenols	Benzenetriols and derivatives
Metabolite_M244T419	M244T419	2-Pentadecanone	244.2629	419.5	Organooxygen compounds	Carbonyl compounds
Metabolite_M284T685	M284T685	Octadecanamide	284.2941	685.2	Carboximidic acids and derivatives	Carboximidic acids
Metabolite_M813T552_3	M813T552_3	PC(20_0_P-16_0)	812.6892	551.6	Glycerophospholipids	Glycerophosphocholines
Metabolite_M500T468	M500T468	Terpendole K	500.2783	468		
Metabolite_M704T577_3	M704T577_3	SM(d18_1_16_0)	703.5731	576.6	Sphingolipids	Phosphosphingolipids
Metabolite_M281T529	M281T529	FA 18_2	281.2468	528.9		
Metabolite_M214T270	M214T270	Chlorpropham	214.0624	269.8	Benzene and substituted derivatives	Phenylcarbamic acid esters
Metabolite_M121T53	M121T53	Isopropyl alcohol	121.0717	53.3	Organooxygen compounds	Alcohols and polyols
Metabolite_M186T56_2	M186T56_2	Secnidazole	186.112	55.5	Azoles	Imidazoles
Metabolite_M334T256	M334T256	gamma-Glutamyltryptophan	334.1389	256.2	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
Metabolite_M203T55	M203T55	Leucylalanine	203.1385	55.4	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
Metabolite_M189T62	M189T62	PROPAMOCARB	189.0865	61.7		
Metabolite_M272T415	M272T415	4-hydroxy ketorolac	272.2577	414.6	Organooxygen compounds	Carbonyl compounds
Metabolite_M809T622_2	M809T622_2	PC(O-22_2(13Z,16Z)_20_2(11Z,14Z))	808.566	622.4	Glycerophospholipids	Glycerophosphocholines
Metabolite_M258T152	M258T152	Dextrorphan	258.1693	151.7	Morphinans	
Metabolite_M336T635	M336T635	Menthyl pyrrolidone carboxylate	336.2888	635.2	Prenol lipids	Terpene glycosides
Metabolite_M406T398	M406T398	Astromicin	406.3513	397.9	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
Metabolite_M813T623_1	M813T623_1	PC(15_0_20_1(11Z))	812.5951	622.6	Glycerophospholipids	Glycerophosphocholines
Metabolite_M257T74	M257T74	Xenognosin A	257.1125	73.8	Linear 1,3-diarylpropanoids	Cinnamylphenols
Metabolite_M262T71	M262T71	Asparaginylglutamic acid	262.1278	71.5	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
Metabolite_M154T42_2	M154T42_2	(Z)-S-1-Propenyl methanesulfinothioate	154.0359	42.1	Thiosulfinic acid esters	
Metabolite_M477T77_2	M477T77_2	4-Deoxy-beta-D-gluc-4-enuronosyl-(1,3)-N-acetyl-D-galactosamine 4-sulfate	477.1008	76.8		
Metabolite_M527T73	M527T73	dTDP-3-methyl-4-oxo-2,6-dideoxy-L-allose	527.0812	72.8		
Metabolite_M225T434	M225T434	Octyl 2-furoate	225.1479	433.8	Furans	Furoic acid and derivatives
Metabolite_M217T55	M217T55	Glutamylserine	217.0813	54.8	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
Metabolite_M257T53	M257T53	N-[(2s)-2-Amino-2-Carboxyethyl]-L-Glutamic Acid	257.0737	52.6		
Metabolite_M430T664	M430T664	4,4-Dimethyl-5a-cholesta-8,24-dien-3-b-ol	430.4055	663.8	Prenol lipids	Triterpenoids
Metabolite_M334T657	M334T657	(3beta,5alpha)-3-Hydroxypregn-16-en-20-one	334.3095	656.6	Steroids and steroid derivatives	Oxosteroids
Metabolite_M288T472	M288T472	Lauroyl diethanolamide	288.2525	471.6	Fatty Acyls	Fatty amides
Metabolite_M253T503	M253T503	3-Methyl-5-pentyl-2-furanpentanoic acid	253.1791	503.3	Fatty Acyls	Fatty acids and conjugates
Metabolite_M163T322	M163T322	Ethyl 4-(methylthio)butyrate	163.1324	322.4	Fatty Acyls	Fatty acid esters
Metabolite_M226T378	M226T378	(S,E)-Lyratol propanoate	226.1795	378.3	Carboxylic acids and derivatives	Carboxylic acid derivatives
Metabolite_M281T42	M281T42	2-hydroxy-5-(methylthio)-3-oxopent-1-enyl phosphate	280.9926	42.4	Organic phosphoric acids and derivatives	Phosphate esters
Metabolite_M219T395	M219T395	Isolubimin	219.1737	395.1	Prenol lipids	Sesquiterpenoids
Metabolite_M282T634	M282T634	4-Hydroxyphenylacetylglutamic acid	282.2208	633.7	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
Metabolite_M172T56	M172T56	Metronidazole	172.1327	56.4	Azoles	Imidazoles
Metabolite_M272T433	M272T433	Arginylproline	272.2576	433.2	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
Metabolite_M717T52_2	M717T52_2	Etoricoxib	717.087	52	Pyridines and derivatives	Bipyridines and oligopyridines
Metabolite_M330T399	M330T399	Phytanate	330.2629	398.8	Prenol lipids	Diterpenoids
Metabolite_M278T54	M278T54	S-(2-Methylpropionyl)-dihydrolipoamide-E	278.1226	54.1	Fatty Acyls	Fatty amides
Metabolite_M506T479	M506T479	LysoPE(0_0_20_2(11Z,14Z))	506.3226	478.7	Glycerophospholipids	Glycerophosphoethanolamines
Metabolite_M300T595	M300T595	Palmitoylethanolamide	300.2888	594.8	Carboximidic acids and derivatives	Carboximidic acids
Metabolite_M171T276	M171T276	Linsidomine	171.1207	275.5	Oxazinanes	Morpholines
Metabolite_M572T54_1	M572T54_1	CDPparatose	572.1772	53.6		
Metabolite_M584T649	M584T649	Hydroxyspheroidenone	584.4731	649.1		
Metabolite_M346T485	M346T485	(E)-2-Methylgeranyl diphosphate	346.3305	484.8		
Metabolite_M809T655_1	M809T655_1	PC(20_5(5Z,8Z,11Z,14Z,17Z)_22_6(4Z,7Z,10Z,13Z,16Z,19Z))	808.5664	655.5	Glycerophospholipids	Glycerophosphocholines
Metabolite_M189T80	M189T80	N-Butyryl-L-homoserine lactone	189.0864	80		
Metabolite_M572T516_2	M572T516_2	LysoPC(20_1(11Z)_0_0)	572.3704	516.4	Glycerophospholipids	Glycerophosphocholines
Metabolite_M231T136	M231T136	Capryloylcholine	231.1696	135.7	Organonitrogen compounds	Quaternary ammonium salts
Metabolite_M330T470	M330T470	Pipertipine	330.2992	470	Benzodioxoles	
Metabolite_M453T466	M453T466	Fluovitef	453.166	466.4		
Metabolite_M235T55	M235T55	Cysteinyl-Leucine	235.0917	55.4	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
Metabolite_M262T319	M262T319	1-(3-Methylbenzoyl)-1H-indazole-3-carbonitrile	262.1793	318.6	Benzene and substituted derivatives	Benzoyl derivatives
Metabolite_M316T365	M316T365	N'-Hydroxysaxitoxin	316.1169	365.3	Saxitoxins, gonyautoxins, and derivatives	
Metabolite_M310T254	M310T254	(2S,4S)-Monatin	310.1751	254.2	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
Metabolite_M383T51	M383T51	Oprea1_595302	383.1138	51		
Metabolite_M814T552_4	M814T552_4	PC(22_4(7Z,10Z,13Z,16Z)_18_4(6Z,9Z,12Z,15Z))	813.6704	552.4	Glycerophospholipids	Glycerophosphocholines
Metabolite_M313T46	M313T46	Adenosine 2',3'-cyclic phosphate	313.0343	45.7	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
Metabolite_M157T196	M157T196	alpha-Carboxy-delta-nonalactone	157.042	196.1	Lactones	Delta valerolactones
Metabolite_M306T372	M306T372	Testosterone	306.2417	372.4	Steroids and steroid derivatives	Androstane steroids
Metabolite_M344T56	M344T56	6-beta-Naltrexol	344.1328	56.4	Phenanthrenes and derivatives	
Metabolite_M214T388_1	M214T388_1	Resorufin	214.0152	387.9	Benzoxazines	Phenoxazines
Metabolite_M293T307	M293T307	Isotrichodermin	293.1373	306.9	Prenol lipids	Sesquiterpenoids
Metabolite_M835T656_1	M835T656_1	PC(O-22_2(13Z,16Z)_22_3(10Z,13Z,16Z))	834.5765	655.6	Glycerophospholipids	Glycerophosphocholines
Metabolite_M370T443	M370T443	Glucobrassicanapin	370.2938	443.4	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
